Unnamed: 0,出入口名稱,經度,緯度,站名,文湖線,淡水信義線,新北投支線,松山新店線,小碧潭支線,中和新蘆線,板南線,環狀線,通車日期
8,忠孝復興站出口1,121.543143,25.041797,忠孝復興,1,0,0,0,0,0,1,0,1996-03-28
9,忠孝復興站出口2,121.543517,25.041206,忠孝復興,1,0,0,0,0,0,1,0,1996-03-28
10,忠孝復興站出口3,121.544806,25.041467,忠孝復興,1,0,0,0,0,0,1,0,1996-03-28
11,忠孝復興站出口4,121.54506,25.041772,忠孝復興,1,0,0,0,0,0,1,0,1996-03-28
12,忠孝復興站出口5,121.543985,25.04202,忠孝復興,1,0,0,0,0,0,1,0,1996-03-28
7,中山國中站出口,121.5439794,25.06082643,中山國中,1,0,0,0,0,0,0,0,1996-03-28
13,大安站出口1,121.5420001,25.03360186,大安,1,1,0,0,0,0,0,0,1996-03-28
14,大安站出口2,121.5415899,25.03364917,大安,1,1,0,0,0,0,0,0,1996-03-28
15,大安站出口3,121.54233,25.033241,大安,1,1,0,0,0,0,0,0,1996-03-28
16,大安站出口4,121.5439764,25.0331244,大安,1,1,0,0,0,0,0,0,1996-03-28
17,大安站出口5,121.543719,25.032862,大安,1,1,0,0,0,0,0,0,1996-03-28
18,大安站出口6,121.543749,25.034006,大安,1,1,0,0,0,0,0,0,1996-03-28
19,科技大樓站出口,121.543636,25.026154,科技大樓,1,0,0,0,0,0,0,0,1996-03-28
20,六張犁站出口,121.552737,25.023852,六張犁,1,0,0,0,0,0,0,0,1996-03-28
21,麟光站出口,121.558606,25.018554,麟光,1,0,0,0,0,0,0,0,1996-03-28
22,辛亥站出口,121.557021,25.005119,辛亥,1,0,0,0,0,0,0,0,1996-03-28
23,萬芳醫院站出口,121.557737,24.999383,萬芳醫院,1,0,0,0,0,0,0,0,1996-03-28
24,萬芳社區站出口,121.5684087,24.99858101,萬芳社區,1,0,0,0,0,0,0,0,1996-03-28
25,木柵站出口,121.573417,24.998174,木柵,1,0,0,0,0,0,0,0,1996-03-28
26,動物園站出口1,121.579942,24.9982988,動物園,1,0,0,0,0,0,0,0,1996-03-28
27,動物園站出口2,121.579321,24.997971,動物園,1,0,0,0,0,0,0,0,1996-03-28
328,南京復興站出口1,121.542121,25.052625,南京復興,1,0,0,1,0,0,0,0,1996-03-28
329,南京復興站出口2,121.541863,25.051748,南京復興,1,0,0,1,0,0,0,0,1996-03-28
330,南京復興站出口3,121.543087,25.05178085,南京復興,1,0,0,1,0,0,0,0,1996-03-28
331,南京復興站出口4,121.5431633,25.0517841,南京復興,1,0,0,1,0,0,0,0,1996-03-28
332,南京復興站出口5,121.544338,25.051727,南京復興,1,0,0,1,0,0,0,0,1996-03-28
333,南京復興站出口6,121.5449255,25.05195456,南京復興,1,0,0,1,0,0,0,0,1996-03-28
334,南京復興站出口8,121.543819,25.052018,南京復興,1,0,0,1,0,0,0,0,1996-03-28
335,南京復興站出口7,121.5445925,25.0524873,南京復興,1,0,0,1,0,0,0,0,1996-03-28
127,雙連站出口1,121.520588,25.057499,雙連,0,1,0,0,0,0,0,0,1997-03-28
128,雙連站出口2,121.520615,25.057825,雙連,0,1,0,0,0,0,0,0,1997-03-28
129,民權西路站出口1,121.519454,25.062641,民權西路,0,1,0,0,0,1,0,0,1997-03-28
130,民權西路站出口4,121.519867,25.061936,民權西路,0,1,0,0,0,1,0,0,1997-03-28
131,民權西路站出口3,121.51983,25.061704,民權西路,0,1,0,0,0,1,0,0,1997-03-28
132,民權西路站出口2,121.51963,25.061846,民權西路,0,1,0,0,0,1,0,0,1997-03-28
133,民權西路站出口5,121.5187721,25.06324045,民權西路,0,1,0,0,0,1,0,0,1997-03-28
134,民權西路站出口6,121.5188804,25.06273597,民權西路,0,1,0,0,0,1,0,0,1997-03-28
135,民權西路站出口7,121.520172,25.062699,民權西路,0,1,0,0,0,1,0,0,1997-03-28
136,民權西路站出口8,121.520563,25.062686,民權西路,0,1,0,0,0,1,0,0,1997-03-28
137,民權西路站出口9,121.520591,25.062952,民權西路,0,1,0,0,0,1,0,0,1997-03-28
138,民權西路站出口10,121.520129,25.062967,民權西路,0,1,0,0,0,1,0,0,1997-03-28
139,圓山站出口1,121.520033,25.070785,圓山,0,1,0,0,0,0,0,0,1997-03-28
140,圓山站出口2,121.520108,25.071776,圓山,0,1,0,0,0,0,0,0,1997-03-28
141,劍潭站出口1,121.525175,25.08503,劍潭,0,1,0,0,0,0,0,0,1997-03-28
142,劍潭站出口2,121.524751,25.083273,劍潭,0,1,0,0,0,0,0,0,1997-03-28
143,劍潭站出口3,121.52496,25.084284,劍潭,0,1,0,0,0,0,0,0,1997-03-28
144,士林站出口1,121.525966,25.094106,士林,0,1,0,0,0,0,0,0,1997-03-28
145,士林站出口2,121.52644,25.09286,士林,0,1,0,0,0,0,0,0,1997-03-28
146,芝山站出口1,121.522636,25.102046,芝山,0,1,0,0,0,0,0,0,1997-03-28
147,芝山站出口2,121.522335,25.10384024,芝山,0,1,0,0,0,0,0,0,1997-03-28
148,明德站出口1,121.519153,25.109298,明德,0,1,0,0,0,0,0,0,1997-03-28
149,明德站出口2,121.518728,25.110008,明德,0,1,0,0,0,0,0,0,1997-03-28
150,明德站出口3,121.518538,25.109964,明德,0,1,0,0,0,0,0,0,1997-03-28
151,石牌站出口1,121.5152545,25.1149633,石牌,0,1,0,0,0,0,0,0,1997-03-28
152,石牌站出口2,121.51625,25.11352,石牌,0,1,0,0,0,0,0,0,1997-03-28
153,唭哩岸站出口1,121.5069183,25.12070935,唭哩岸,0,1,0,0,0,0,0,0,1997-03-28
154,唭哩岸站出口2,121.50589,25.120854,唭哩岸,0,1,0,0,0,0,0,0,1997-03-28
155,奇岩站出口1,121.5009856,25.12611852,奇岩,0,1,0,0,0,0,0,0,1997-03-28
156,奇岩站出口2,121.5010854,25.1250223,奇岩,0,1,0,0,0,0,0,0,1997-03-28
157,奇岩站出口3,121.5012611,25.1251407,奇岩,0,1,0,0,0,0,0,0,1997-03-28
158,北投站出口1,121.4981189,25.1323269,北投,0,1,0,0,0,0,0,0,1997-03-28
159,北投站出口2,121.499194,25.131025,北投,0,1,0,0,0,0,0,0,1997-03-28
160,新北投站出口1,121.503524,25.136968,新北投,0,0,1,0,0,0,0,0,1997-03-28
161,新北投站出口2,121.502455,25.136834,新北投,0,0,1,0,0,0,0,0,1997-03-28
162,復興崗站出口1,121.4854068,25.137665,復興崗,0,1,0,0,0,0,0,0,1997-03-28
163,復興崗站出口2,121.485126,25.137329,復興崗,0,1,0,0,0,0,0,0,1997-03-28
164,忠義站出口1,121.473169,25.131056,忠義,0,1,0,0,0,0,0,0,1997-03-28
165,忠義站出口2,121.4736461,25.1309851,忠義,0,1,0,0,0,0,0,0,1997-03-28
166,關渡站出口1,121.467215,25.125431,關渡,0,1,0,0,0,0,0,0,1997-03-28
