鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,source_file,x,y,最近捷運站,捷運站距離(公尺),文湖線,淡水信義線,新北投支線,松山新店線,小碧潭支線,中和新蘆線,板南線,環狀線,通車日期
南港區,房地(土地+建物),臺北市南港區東新街８９巷１弄１６號,21.0,住,,,1140401,土地1建物1車位0,一層，平台,三層,公寓(5樓含以下無電梯),住家用,加強磚造,,52.87,2,1,1,有,無,18150000,343295,,0.0,0,其他增建；具重建或重劃、都更等效益；,RPPNMLKKMHKGFDA17DA,52.87,0.0,0.0,無,2.0,a_lvr_land_a.csv,121.589608016233,25.047243998874,昆陽,464.29350391400163,0,0,0,0,0,0,1,0,2000-12-30
內湖區,房地(土地+建物),臺北市內湖區內湖路一段９１巷１６６號二樓,13.89,都市：其他:第三種住宅區。,,,1140403,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130801.0,51.41,1,1,1,有,有,14480000,281657,,0.0,0,,RPPNMLMKMHKGFCA27DA,28.51,0.0,2.92,有,,a_lvr_land_a.csv,121.56271691047,25.088892988782,西湖,829.3083542467168,1,0,0,0,0,0,0,0,2009-07-04
文山區,房地(土地+建物),臺北市文山區辛亥路七段８４巷２４號三樓,36.5,住,,,1140406,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,670816.0,91.62,3,2,1,有,無,13800000,150622,,0.0,0,其他增建；,RPQNMLQJMHKGFAA47DA,78.54,0.0,13.08,無,,a_lvr_land_a.csv,121.554933004805,24.981331017325,七張,1386.33529603135,0,0,0,1,0,0,0,0,1999-11-11
北投區,房地(土地+建物),臺北市北投區中央北路三段１４８巷４弄６號五樓,23.35,住,,,1140401,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,750307.0,84.1,3,1,1,有,有,9584149,113961,,0.0,0,,RPVOMLLKMHKGFEA08DA,70.9,0.0,5.02,無,10.0,a_lvr_land_a.csv,121.482906975543,25.13777098392,復興崗,251.91709034327403,0,1,0,0,0,0,0,0,1997-03-28
萬華區,房地(土地+建物),臺北市萬華區寶興街８０巷２５號四樓,20.4,住,,,1140311,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,651118.0,86.65,3,2,1,有,無,13550000,156376,,0.0,0,陽台外推；頂樓加蓋；,RPRNMLLLLHKGFBA27DA,82.16,0.0,4.49,無,,a_lvr_land_a.csv,121.49389003473,25.025543000095,龍山寺,1242.8906262740475,0,0,0,0,0,0,1,0,1999-12-24
內湖區,房地(土地+建物),臺北市內湖區成功路四段２２３巷１９號三樓,26.44,住,,,1140304,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,711023.0,85.22999999999999,3,2,1,有,無,17680000,207439,,0.0,0,陽台外推；其他增建；,RPSNMLLLLHKGFCA47DA,66.53,0.0,10.57,無,,a_lvr_land_a.csv,121.59659600891,25.083581979891,內湖,235.34989633610232,1,0,0,0,0,0,0,0,2009-07-04
松山區,房地(土地+建物)+車位,臺北市松山區敦化南路一段３號二十一樓之１,32.33,住,,,1140318,土地2建物1車位2,二十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100203.0,476.47,3,2,3,有,有,245000000,585303,坡道平面,73.26,9000000,,RPVOMLTJMHKGFDA68DA,226.06,13.5,25.6,有,15.0,a_lvr_land_a.csv,121.549259965098,25.047225013863,台北小巨蛋,561.4019043198065,0,0,0,1,0,0,0,0,2014-11-15
北投區,房地(土地+建物),臺北市北投區吉利街１４９巷９號七樓,18.55,住,,,1140324,土地1建物1車位0,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1060120.0,84.77,2,1,1,有,有,19680000,232158,,0.0,0,,RPSNMLLJMHKGFEA57DA,41.58,4.57,4.32,有,17.0,a_lvr_land_a.csv,121.507556979315,25.119083991795,唭哩岸,191.8294592976704,0,1,0,0,0,0,0,0,1997-03-28
士林區,房地(土地+建物),臺北市士林區文林路７６３號八樓之１１,9.54,住,,,1140321,土地1建物1車位0,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,700204.0,81.25999999999999,4,0,4,有,有,16950000,208590,,0.0,0,其他增建；,RPTNMLMJMHKGFEA77DA,61.14,0.0,8.32,有,,a_lvr_land_a.csv,121.519026021249,25.103191316641,芝山,385.16169215806553,0,1,0,0,0,0,0,0,1997-03-28
大安區,房地(土地+建物)+車位,臺北市大安區復興南路二段１５１巷２８號四樓,28.19,都市：其他:第三種住宅區。,,,1140317,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950406.0,149.25,4,2,2,有,有,32000000,214405,坡道平面,58.28,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLTJMHKGFFA28EA,71.11,2.9,8.18,有,,a_lvr_land_a.csv,121.545209997122,25.028199979583,科技大樓,277.3217496224005,1,0,0,0,0,0,0,0,1996-03-28
