編號,鄉鎮市區,土地位置建物門牌,租賃年月日,總額元,出租型態,租賃天數,主要用途,主要用途分類,租賃層次,租賃層次分類,總樓層數,建物型態,交易筆棟數-土地,交易筆棟數-建物,租賃住宅服務,有無管理組織,有無管理員,有無附傢俱,有無電梯,主要建材,主要建材分類,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,建物總面積平方公尺,單價元平方公尺,建築完成年月,屋齡,屋齡分類,附屬設備-冷氣,附屬設備-熱水器,附屬設備-洗衣機,附屬設備-電視機,附屬設備-冰箱,附屬設備-瓦斯或天然氣,附屬設備-有線電視,附屬設備-網路
RPPNMLLJRHIGFAA27CC,中正區,臺北市中正區博愛路２１８巷２號７樓,2023-08-16,91000,整棟(戶)出租,737,住家用,住宅類,七層,低樓層,7,華廈(10層含以下有電梯),0,1,NA,1,0,0,1,鋼筋混凝土造,鋼筋混凝土造類,4,2,3,1,232.71999999999997,391,2010-02-12,13,10-20年,1,0,0,0,0,0,0,0
RPQNMLLJRHIGFBA47CC,大同區,臺北市大同區承德路二段６９號六樓之１,2023-08-24,75000,整棟(戶)出租,365,住家用,住宅類,六層,低樓層,18,住宅大樓(11層含以上有電梯),0,1,NA,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,3,1,2,1,150.88,497,2017-09-25,5,新屋,1,1,1,1,1,1,0,0
RPPNMLLJRHIGFCA47CC,中山區,臺北市中山區林森北路１１９巷２１號,2023-08-15,66000,NA,365,住家用,住宅類,一層,低樓層,4,店面(店鋪),0,1,NA,0,0,1,0,鋼筋混凝土造,鋼筋混凝土造類,0,0,0,0,80.84,816,1971-03-04,52,40年以上,0,0,0,0,0,0,0,0
RPSOMLLJRHIGFCA87CC,內湖區,臺北市內湖區康寧路一段１１６號３樓之１,2023-08-04,18000,獨立套房,365,住家用,住宅類,三層,低樓層,7,華廈(10層含以下有電梯),0,1,社會住宅包租轉租,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,0,0,0,0,42.17,427,1983-01-11,40,30-40年,1,1,1,0,1,0,0,0
RPPNMLLJRHIGFEA67CC,士林區,臺北市士林區天母東路８巷５３之１號６樓,2023-08-28,75000,整棟(戶)出租,730,住家用,住宅類,六層,低樓層,7,華廈(10層含以下有電梯),0,1,NA,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,3,1,2,1,149.82999999999998,501,1981-12-14,41,40年以上,1,1,1,1,1,1,0,0
RPPNMLLJRHIGFFA87DC,大安區,臺北市大安區光復南路３４６巷４６號５樓,2023-08-19,65000,整棟(戶)出租,730,住家用,住宅類,五層,低樓層,7,華廈(10層含以下有電梯),3,1,NA,0,0,1,1,鋼筋混凝土造,鋼筋混凝土造類,3,2,2,1,139.12,467,1979-11-24,43,40年以上,1,1,1,0,1,1,0,0
RPQNMLMJRHIGFBA57CC,中正區,臺北市中正區中華路一段７號七樓之３,2023-08-04,45000,整棟(戶)出租,365,住家用,住宅類,七層,低樓層,15,住宅大樓(11層含以上有電梯),0,1,NA,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,1,1,1,1,55.47,811,2015-12-14,7,5-10年,1,1,1,1,1,1,1,1
RPRNMLMJRHIGFBA67CC,大同區,臺北市大同區南京西路５７號８樓之１２,2023-08-04,45232,整棟(戶)出租,365,住家用,住宅類,八層,低樓層,19,住宅大樓(11層含以上有電梯),0,1,NA,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,1,1,1,1,67.96000000000001,666,2019-03-04,4,新屋,1,1,1,1,1,1,0,0
RPPNMLMJRHIGFCA57CC,中山區,臺北市中山區北安路８２９號８樓之１,2023-08-19,25000,整棟(戶)出租,183,住家用,住宅類,八層,低樓層,14,住宅大樓(11層含以上有電梯),0,1,NA,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,1,1,1,1,45.3,552,2010-12-24,12,10-20年,1,1,1,1,1,1,0,0
RPPNMLMJRHIGFDA67CC,南港區,臺北市南港區經貿二路１５７巷３６弄１０１號８樓之１,2023-08-20,33000,整棟(戶)出租,365,住家用,住宅類,八層,低樓層,11,住宅大樓(11層含以上有電梯),0,1,NA,1,1,1,1,鋼筋混凝土造,鋼筋混凝土造類,2,2,1,1,91.52,361,2013-08-12,10,5-10年,1,1,1,1,1,1,0,0
