鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務,source_file,x,y,最近捷運站,捷運站距離(公尺),文湖線,淡水信義線,新北投支線,松山新店線,小碧潭支線,中和新蘆線,板南線,環狀線,通車日期
中山區,租賃房屋,臺北市中山區新生北路二段６８巷１５號６樓之３,0.0,,,,1140311,土地0建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970813.0,35.02,0,0,0,無,有,有,25600,731,,0.0,0,,RPUNMLMKLHKGFCA77CC,獨立套房,有,1140312~1150311,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視、網路,,a_lvr_land_c.csv,121.526131025295,25.056509019368,雙連,569.0970697544578,0,1,0,0,0,0,0,0,1997-03-28
中山區,租賃房屋,臺北市中山區遼寧街８１巷１６號３樓,0.0,,,,1140312,土地0建物0車位0,三層,3,公寓(5樓含以下無電梯),住家用,加強磚造,570110.0,14.56,3,0,3,有,無,有,9000,618,,0.0,0,3戶公用走道及洗衣空間4.01坪租金總額含水費；瓦斯費；網路費；續租案件；,RPROMLMKLHKGFCA57CC,分租套房,無,1140401~1150331,無,冷氣、熱水器、冰箱、瓦斯或天然氣、網路,一般轉租,a_lvr_land_c.csv,121.542840013999,25.049368015048,南京復興,369.3319581590218,1,0,0,1,0,0,0,0,1996-03-28
南港區,租賃房屋,臺北市南港區興華路１１６號１樓,0.0,,,,1140312,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,730612.0,96.94,0,0,0,無,有,無,63000,650,,0.0,0,租金總額含稅；租賃期間有約定不同租金1131201~1161130 63000/月租金1161201~1191130 66150/月租金1191201~1221130 69456/月租金；,RPPNMLMKLHKGFDA37CC,,無,1131201~1221130,無,,,a_lvr_land_c.csv,121.605504966157,25.056782981873,南港,548.4962932269327,0,0,0,0,0,0,1,0,2008-12-15
南港區,租賃房屋,臺北市南港區東新街１７０巷１５之１號５樓,23.95,住,,,1140311,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,731121.0,101.88,3,2,1,有,無,有,28000,275,,0.0,0,,RPWNMLMKLHKGFDA08CC,分層出租,無,1140315~1150314,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,一般包租,a_lvr_land_c.csv,121.59290998317,25.044883990216,昆陽,604.6296483186221,0,0,0,0,0,0,1,0,2000-12-30
士林區,租賃房屋,臺北市士林區中山北路七段１４１巷９號三樓,32.41,住,,,1140311,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,681214.0,132.08,3,2,2,有,無,無,45000,341,,0.0,0,,RPVNMLMKLHKGFEA08CC,整棟(戶)出租,無,1140401~1150331,無,,,a_lvr_land_c.csv,121.530745011536,25.122934009471,石牌,1793.82012151994,0,1,0,0,0,0,0,0,1997-03-28
文山區,租賃房屋,臺北市文山區汀州路四段１７０號２樓,0.0,,,,1140311,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,731115.0,110.83,3,1,2,有,有,有,34000,307,,0.0,0,續租案件；,RPPNMLNKLHKGFAA17CC,整棟(戶)出租,有,1140401~1150331,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管,a_lvr_land_c.csv,121.535565024957,25.004669001794,萬隆,497.4833755617448,0,0,0,1,0,0,0,0,1999-11-11
文山區,租賃房屋,臺北市文山區興隆路一段５５巷１０號四樓,0.0,,,,1140312,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,601027.0,120.98,3,2,1,有,無,有,33000,273,,0.0,0,,RPUNMLNKLHKGFAA67CC,整棟(戶)出租,無,1140315~1150314,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管,a_lvr_land_c.csv,121.541630337733,25.003800301349,萬隆,386.1832368081586,0,0,0,1,0,0,0,0,1999-11-11
大同區,租賃房屋,臺北市大同區華陰街７９號８樓之３,0.0,,,,1140313,土地0建物1車位0,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020118.0,85.6,2,2,1,有,有,有,55000,643,,0.0,0,租金總額含管理費；其他租金內含所得稅、健保補充保費；,RPPOMLNKLHKGFBA37CC,整棟(戶)出租,有,1140401~1150331,有,冷氣、熱水器、洗衣機、電視機、冰箱,,a_lvr_land_c.csv,121.517961016632,25.049750984204,台北車站,375.272141879558,0,1,0,0,0,0,1,0,1998-12-24
中山區,租賃房屋,臺北市中山區松江路８號８樓之１８,0.0,,,,1140311,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,661102.0,20.43,1,0,1,有,有,有,17500,857,,0.0,0,,RPPNMLNKLHKGFCA37CC,獨立套房,有,1140311~1150310,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租,a_lvr_land_c.csv,121.532689026339,25.046456980075,忠孝新生,488.2048658976555,0,0,0,0,0,1,1,0,1999-12-24
中山區,租賃房屋,臺北市中山區林森北路１１９巷２０號四樓之２,0.0,,,,1140311,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,950818.0,21.85,1,0,1,有,有,有,16900,773,,0.0,0,此為臺北市社會住宅包租代管計畫之物件，評定市價租金為21200元，因選擇包租方案須打八折且簽約租金無條件捨去至百分位，實際租賃契約金額為16900元。管理費每個月1100元不包含在租金內,RPSNMLNKLHKGFCA67CC,獨立套房,有,1140316~1150315,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租,a_lvr_land_c.csv,121.52594796453,25.050463990798,中山,608.5810253481,0,1,0,1,0,0,0,0,1997-03-28
