鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務,source_file
"中山區","租賃房屋","臺北市中山區新生北路二段６８巷１５號６樓之３","0.0","","","","1140311","土地0建物1車位0","六層","12","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0970813","35.02","0","0","0","無","有","有","25600","731","","0.0","0","","RPUNMLMKLHKGFCA77CC","獨立套房","有","1140312~1150311","有","冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視、網路","","a_lvr_land_c.csv"
"中山區","租賃房屋","臺北市中山區遼寧街８１巷１６號３樓","0.0","","","","1140312","土地0建物0車位0","三層","3","公寓(5樓含以下無電梯)","住家用","加強磚造","0570110","14.56","3","0","3","有","無","有","9000","618","","0.0","0","3戶公用走道及洗衣空間4.01坪租金總額含水費；瓦斯費；網路費；續租案件；","RPROMLMKLHKGFCA57CC","分租套房","無","1140401~1150331","無","冷氣、熱水器、冰箱、瓦斯或天然氣、網路","一般轉租","a_lvr_land_c.csv"
"南港區","租賃房屋","臺北市南港區興華路１１６號１樓","0.0","","","","1140312","土地0建物1車位0","一層","5","公寓(5樓含以下無電梯)","商業用","鋼筋混凝土造","0730612","96.94","0","0","0","無","有","無","63000","650","","0.0","0","租金總額含稅；租賃期間有約定不同租金1131201~1161130 63000/月租金1161201~1191130 66150/月租金1191201~1221130 69456/月租金；","RPPNMLMKLHKGFDA37CC","","無","1131201~1221130","無","","","a_lvr_land_c.csv"
"南港區","租賃房屋","臺北市南港區東新街１７０巷１５之１號５樓","23.95","住","","","1140311","土地1建物1車位0","五層","5","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0731121","101.88","3","2","1","有","無","有","28000","275","","0.0","0","","RPWNMLMKLHKGFDA08CC","分層出租","無","1140315~1150314","無","冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣","一般包租","a_lvr_land_c.csv"
"士林區","租賃房屋","臺北市士林區中山北路七段１４１巷９號三樓","32.41","住","","","1140311","土地1建物1車位0","三層","5","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0681214","132.08","3","2","2","有","無","無","45000","341","","0.0","0","","RPVNMLMKLHKGFEA08CC","整棟(戶)出租","無","1140401~1150331","無","","","a_lvr_land_c.csv"
"文山區","租賃房屋","臺北市文山區汀州路四段１７０號２樓","0.0","","","","1140311","土地0建物1車位0","二層","7","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","0731115","110.83000000000001","3","1","2","有","有","有","34000","307","","0.0","0","續租案件；","RPPNMLNKLHKGFAA17CC","整棟(戶)出租","有","1140401~1150331","有","冷氣、熱水器、洗衣機、電視機、冰箱","社會住宅代管","a_lvr_land_c.csv"
"文山區","租賃房屋","臺北市文山區興隆路一段５５巷１０號四樓","0.0","","","","1140312","土地0建物1車位0","四層","4","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0601027","120.98","3","2","1","有","無","有","33000","273","","0.0","0","","RPUNMLNKLHKGFAA67CC","整棟(戶)出租","無","1140315~1150314","無","冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣","社會住宅代管","a_lvr_land_c.csv"
"大同區","租賃房屋","臺北市大同區華陰街７９號８樓之３","0.0","","","","1140313","土地0建物1車位0","八層","13","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1020118","85.6","2","2","1","有","有","有","55000","643","","0.0","0","租金總額含管理費；其他租金內含所得稅、健保補充保費；","RPPOMLNKLHKGFBA37CC","整棟(戶)出租","有","1140401~1150331","有","冷氣、熱水器、洗衣機、電視機、冰箱","","a_lvr_land_c.csv"
"中山區","租賃房屋","臺北市中山區松江路８號８樓之１８","0.0","","","","1140311","土地0建物1車位0","八層","12","住宅大樓(11層含以上有電梯)","住商用","鋼筋混凝土造","0661102","20.43","1","0","1","有","有","有","17500","857","","0.0","0","","RPPNMLNKLHKGFCA37CC","獨立套房","有","1140311~1150310","有","冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣","社會住宅包租轉租","a_lvr_land_c.csv"
"中山區","租賃房屋","臺北市中山區林森北路１１９巷２０號四樓之２","0.0","","","","1140311","土地0建物1車位0","四層","7","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","0950818","21.85","1","0","1","有","有","有","16900","773","","0.0","0","此為臺北市社會住宅包租代管計畫之物件，評定市價租金為21200元，因選擇包租方案須打八折且簽約租金無條件捨去至百分位，實際租賃契約金額為16900元。管理費每個月1100元不包含在租金內","RPSNMLNKLHKGFCA67CC","獨立套房","有","1140316~1150315","有","冷氣、熱水器、洗衣機、電視機、冰箱","社會住宅包租轉租","a_lvr_land_c.csv"
"中山區","租賃房屋","臺北市中山區吉林路３６９號二樓之４","0.0","","","","1140311","土地0建物0車位0","二層","7","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","0681219","21.419999999999998","4","1","3","有","無","有","14500","677","","0.0","0","","RPTNMLNKLHKGFCA77CC","分租套房","無","1140311~1150310","有","冷氣、熱水器、洗衣機、電視機、冰箱","一般轉租","a_lvr_land_c.csv"
"中山區","租賃房屋","臺北市中山區吉林路３６９號二樓之４","0.0","","","","1140311","土地0建物0車位0","二層","7","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","0681219","21.419999999999998","4","1","3","有","無","有","14500","677","","0.0","0","","RPVNMLNKLHKGFCA97CC","分租套房","無","1140311~1150310","有","冷氣、熱水器、洗衣機、電視機、冰箱","一般轉租","a_lvr_land_c.csv"
