"Feature_Removed","Test_RMSE","RMSE_Diff","CI_Lower","CI_Upper","p_value"
"建物現況格局-廳",9124.41625452634,47.9938210665587,-192.961775305867,280.649657389145,0.67152
"建物現況格局-隔間",9143.9582137386,28.4518618543061,-211.571946951103,289.251273615155,0.87964
"None (All features)",9172.4100755929,0,NA,NA,NA
"租賃年月日",9185.07257772069,-12.662502127785,-448.236364740343,370.288618596009,0.99504
"建物現況格局-衛",9199.1292623733,-26.7191867803976,-187.602735467564,124.436407910969,0.73834
"有無管理員",9202.3425544148,-29.9324788219001,-282.340117061153,200.156505641879,0.84128
"附屬設備-冰箱",9205.84985496325,-33.4397793703447,-241.712288874339,194.622559781907,0.76352
"附屬設備-洗衣機",9222.52615013951,-50.1160745466113,-309.076058406263,207.069548463145,0.74898
"交易筆棟數-土地",9223.31632255208,-50.9062469591772,-256.318777093257,161.567575242719,0.6662
"租賃層次(四類)",9235.59737613799,-63.1873005450852,-298.340711333163,150.006902022235,0.6054
"建物型態",9253.26207587717,-80.8520002842724,-364.918605758166,215.210184336547,0.58858
"有無管理組織",9272.51435754087,-100.104281947966,-298.157427408977,103.787708178555,0.32252
"有無附傢俱",9278.81764273038,-106.407567137479,-379.69686402711,142.426584473197,0.43074
"有無電梯",9299.76197702812,-127.35190143522,-468.705475489934,143.731555996217,0.45104
"附屬設備-冷氣",9313.94870417405,-141.538628581149,-344.098335487513,58.249876013105,0.16854
"捷運線",9319.63382854144,-147.223752948539,-482.937459633553,163.690461571466,0.42468
"附屬設備-電視機",9327.81884057903,-155.40876498613,-497.185444072752,114.51679593858,0.32584
"附屬設備-熱水器",9336.04647820784,-163.636402614939,-507.657044431037,153.196444736722,0.34276
"附屬設備-網路",9350.35553815544,-177.945462562542,-493.679944162564,139.485334598587,0.28932
"附屬設備-有線電視",9414.90189498276,-242.491819389857,-611.456518403759,45.3198656665319,0.11868
"租賃天數",9415.0100944115,-242.600018818601,-738.349427413313,236.556403772987,0.33288
"交易筆棟數-建物",9415.20933764203,-242.799262049131,-567.60195811417,64.2897459389766,0.13444
"捷運站距離(公尺)",9440.56504424086,-268.154968647959,-522.681255326074,-5.74002405370657,0.04426
"出租型態",9444.61286953658,-272.202793943681,-577.40209785922,48.449969139637,0.09782
"建物現況格局-房",9450.77991533158,-278.369839738674,-643.338989187049,17.8974717325904,0.07112
"附屬設備-瓦斯或天然氣",9469.28746845926,-296.877392866363,-688.55251393427,7.29328282299702,0.05798
"鄉鎮市區",9498.39079615046,-325.980720557558,-619.225474560387,-47.4992571517604,0.01966
"建材分類",9500.1238394573,-327.713763864398,-809.10070391328,96.2394773312884,0.1607
"總樓層數",9502.25815228182,-329.848076688922,-538.597003110185,-114.593498257422,0.00278
"附近建物單位成交均價",9581.0128626061,-408.602787013202,-776.150248671284,-45.9676127737222,0.02396
"屋齡",9602.09040241468,-429.680326821777,-851.11497909773,-17.8232589189227,0.04066
"租賃住宅服務",9775.57652940628,-603.166453813375,-1013.36268785954,-188.130464770628,0.0036
"建物總面積平方公尺",11301.8763299423,-2129.46625434936,-3166.21380025653,-1087.65488414504,0
