"鄉鎮市區","總額元","租賃年月日","出租型態","總樓層數","建物型態","租賃住宅服務","租賃天數","有無電梯","建物現況格局-房","建物現況格局-廳","建物現況格局-衛","建物總面積平方公尺","屋齡","附屬設備-冷氣","附屬設備-熱水器","附屬設備-洗衣機","附屬設備-電視機","附屬設備-瓦斯或天然氣","附屬設備-有線電視","附屬設備-網路","捷運站距離(公尺)","附近建物單位成交均價","捷運線","Predicted","AbsError","MAPE"
"大同區",45232,19573,"整棟(戶)出租",19,"住宅大樓(11層含以上有電梯)","未知",365,1,1,1,1,67.96,4,1,1,1,1,1,0,0,116.009102344176,659.566666666667,"淡水信義線",51589.3443451124,6357.34434511244,0.140549706957739
"南港區",33000,19589,"整棟(戶)出租",11,"住宅大樓(11層含以上有電梯)","未知",365,1,2,2,1,91.52,10,1,1,1,1,1,0,0,202.916309185907,387.833333333333,"文湖線",44283.9072508245,11283.9072508245,0.341936583358317
"士林區",42000,19602,"未知",4,"公寓(5樓含以下無電梯)","未知",1826,0,1,1,1,67.35,50,0,0,0,0,0,0,0,215.07801951457,633.333333333333,"淡水信義線",41096.1071599094,903.892840090586,0.0215212580973949
"內湖區",35000,19600,"整棟(戶)出租",7,"華廈(10層含以下有電梯)","未知",365,1,3,2,2,124.89,26,0,0,0,0,0,0,0,427.826679189637,398.833333333333,"文湖線",45282.4457168282,10282.4457168282,0.293784163337948
"大安區",51200,19597,"未知",17,"住宅大樓(11層含以上有電梯)","未知",1095,1,2,1,2,135.12,38,0,0,0,0,0,0,0,333.396707663138,426.066666666667,"文湖線",52113.4535829286,913.453582928647,0.0178408902915751
"大安區",69000,19593,"未知",6,"華廈(10層含以下有電梯)","未知",1095,1,2,2,2,172.56,30,0,0,0,0,0,0,0,248.001237257923,576.52,"板南線",79857.8098301504,10857.8098301504,0.157359562755803
"中正區",18000,19593,"整棟(戶)出租",5,"公寓(5樓含以下無電梯)","社會住宅代管",365,0,1,1,1,79.52,24,0,1,0,0,0,0,0,604.478305280022,339.6,"松山新店線",21429.4732263644,3429.47322636445,0.19052629035358
"士林區",15000,19600,"整棟(戶)出租",4,"公寓(5樓含以下無電梯)","社會住宅代管",365,0,3,1,1,71.81,48,0,1,0,0,0,0,0,1365.60554762656,457.066666666667,"淡水信義線",16613.5627408942,1613.56274089422,0.107570849392948
"萬華區",11000,19604,"整棟(戶)出租",12,"住宅大樓(11層含以上有電梯)","社會住宅包租轉租",365,1,1,0,1,27.12,40,1,1,1,1,0,0,0,623.367738840361,388.433333333333,"松山新店線",12447.8656854365,1447.86568543647,0.131624153221497
"松山區",53000,19596,"整棟(戶)出租",11,"住宅大樓(11層含以上有電梯)","未知",365,1,1,2,1,95.65,9,0,0,0,0,0,0,0,146.80914970525,461.233333333333,"松山新店線",54129.4782478594,1129.47824785936,0.0213109103369691
"信義區",28900,19604,"整棟(戶)出租",7,"華廈(10層含以下有電梯)","社會住宅代管",334,1,2,1,1,69.28,29,1,1,0,0,1,0,0,846.67661520675,366.666666666667,"文湖線",25957.8331722767,2942.16682772328,0.101805080544058
"中山區",25000,19597,"整棟(戶)出租",15,"住宅大樓(11層含以上有電梯)","未知",365,1,1,1,1,34.5,13,0,0,0,0,0,0,0,496.453069161615,440.666666666667,"淡水信義線",24822.3031092305,177.696890769508,0.00710787563078033
"松山區",40000,19599,"整棟(戶)出租",15,"住宅大樓(11層含以上有電梯)","未知",730,1,3,2,1,81.76,45,0,0,0,0,0,0,0,474.800700789275,462.3,"文湖線",39708.1171751456,291.882824854416,0.0072970706213604
