"鄉鎮市區","總額元","租賃年月日","出租型態","租賃層次(四類)","總樓層數","建物型態","交易筆棟數-土地","交易筆棟數-建物","租賃住宅服務","租賃天數","有無管理組織","有無管理員","有無附傢俱","有無電梯","建物現況格局-房","建物現況格局-廳","建物現況格局-衛","建物現況格局-隔間","建物總面積平方公尺","屋齡","建材分類","附屬設備-冷氣","附屬設備-熱水器","附屬設備-洗衣機","附屬設備-電視機","附屬設備-冰箱","附屬設備-瓦斯或天然氣","附屬設備-有線電視","附屬設備-網路","捷運站距離(公尺)","附近建物單位成交均價","捷運線","Predicted","AbsError","MAPE"
"大同區",45232,19573,"整棟(戶)出租","低樓層",19,"住宅大樓(11層含以上有電梯)",0,1,"未知",365,1,1,1,1,1,1,1,1,67.96,4,"鋼筋混凝土造類",1,1,1,1,1,1,0,0,116.009102344176,659.566666666667,"淡水信義線",51780.1071011614,6548.10710116138,0.144767136124014
"南港區",33000,19589,"整棟(戶)出租","低樓層",11,"住宅大樓(11層含以上有電梯)",0,1,"未知",365,1,1,1,1,2,2,1,1,91.52,10,"鋼筋混凝土造類",1,1,1,1,1,1,0,0,202.916309185907,387.833333333333,"文湖線",43493.2555508605,10493.2555508605,0.317977440935166
"士林區",42000,19602,"未知","低樓層",4,"公寓(5樓含以下無電梯)",1,1,"未知",1826,0,0,0,0,1,1,1,1,67.35,50,"鋼筋混凝土造類",0,0,0,0,0,0,0,0,215.07801951457,633.333333333333,"淡水信義線",44725.1784243859,2725.17842438594,0.0648852005806177
"內湖區",35000,19600,"整棟(戶)出租","低樓層",7,"華廈(10層含以下有電梯)",0,1,"未知",365,1,0,0,1,3,2,2,1,124.89,26,"鋼筋混凝土造類",0,0,0,0,0,0,0,0,427.826679189637,398.833333333333,"文湖線",45301.0304058077,10301.0304058077,0.294315154451649
"大安區",51200,19597,"未知","低樓層",17,"住宅大樓(11層含以上有電梯)",0,1,"未知",1095,1,1,0,1,2,1,2,1,135.12,38,"鋼筋混凝土造類",0,0,0,0,0,0,0,0,333.396707663138,426.066666666667,"文湖線",52257.3671238991,1057.36712389913,0.0206517016386549
"大安區",69000,19593,"未知","低樓層",6,"華廈(10層含以下有電梯)",0,1,"未知",1095,1,1,0,1,2,2,2,1,172.56,30,"鋼筋混凝土造類",0,0,0,0,0,0,0,0,248.001237257923,576.52,"板南線",76437.4834841157,7437.48348411567,0.107789615711821
"中正區",18000,19593,"整棟(戶)出租","低樓層",5,"公寓(5樓含以下無電梯)",1,1,"社會住宅代管",365,0,0,0,0,1,1,1,1,79.52,24,"鋼筋混凝土造類",0,1,0,0,0,0,0,0,604.478305280022,339.6,"松山新店線",21312.749267943,3312.74926794301,0.184041625996834
"士林區",15000,19600,"整棟(戶)出租","低樓層",4,"公寓(5樓含以下無電梯)",0,1,"社會住宅代管",365,0,0,0,0,3,1,1,1,71.81,48,"鋼筋混凝土造類",0,1,0,0,0,0,0,0,1365.60554762656,457.066666666667,"淡水信義線",17632.9054533587,2632.90545335872,0.175527030223915
"萬華區",11000,19604,"整棟(戶)出租","低樓層",12,"住宅大樓(11層含以上有電梯)",0,1,"社會住宅包租轉租",365,1,1,1,1,1,0,1,1,27.12,40,"鋼筋混凝土造類",1,1,1,1,1,0,0,0,623.367738840361,388.433333333333,"松山新店線",12017.3634272955,1017.3634272955,0.0924875842995905
"松山區",53000,19596,"整棟(戶)出租","低樓層",11,"住宅大樓(11層含以上有電梯)",0,1,"未知",365,1,0,0,1,1,2,1,1,95.65,9,"鋼筋混凝土造類",0,0,0,0,0,0,0,0,146.80914970525,461.233333333333,"松山新店線",59059.2664211016,6059.26642110155,0.114325781530218
